t,accAC,gyrAC
0.1114,0.298,1.85
0.1914,0.292,1.94
0.2421,0.288,1.80
0.2918,0.284,1.58
0.3481,0.271,1.67
0.3995,0.267,1.63
0.4533,0.275,1.65
0.5071,0.259,1.61
0.5570,0.257,1.77
0.6071,0.252,1.45
0.6600,0.242,1.16
0.7118,0.238,1.31
0.7669,0.230,1.50
0.8211,0.231,1.32
0.8718,0.227,1.59
0.9684,0.224,1.32
1.0186,0.216,1.17
1.0717,0.210,1.16
1.1238,0.205,1.33
1.1771,0.209,1.22
1.2313,0.198,1.01
1.2969,0.199,1.08
1.3539,0.201,0.99
1.4073,0.185,1.10
1.4618,0.178,0.75
1.5160,0.166,0.79
1.5694,0.170,-0.28
1.6169,0.219,7.94
1.6805,0.489,-25.78
1.7385,-0.009,12.49
1.7885,0.300,34.31
1.8514,0.679,-28.03
1.9069,-0.362,-26.15
1.9615,-0.374,9.54
2.0178,-0.081,30.90
2.0700,0.726,5.22
2.1288,0.535,-13.69
2.1825,-0.061,6.69
2.2333,-0.030,11.41
2.2882,-0.058,5.76
2.3403,0.123,6.52
2.3925,0.252,1.16
2.4420,0.129,-0.40
2.4968,0.166,0.52
2.5497,0.144,2.69
2.6010,0.121,-0.49
2.6522,-0.066,6.67
2.7064,0.097,8.82
2.7569,0.174,-0.57
2.8142,-0.089,1.56
2.8645,0.007,2.22
2.9189,0.088,2.82
2.9699,0.151,-0.86
3.0196,0.099,-0.70
3.0769,0.138,-3.84
3.1312,-0.021,0.29
3.1848,0.024,0.26
3.2378,0.033,-3.34
3.3004,0.150,-6.55
3.3489,0.163,-4.09
3.3969,0.084,-0.33
3.4526,0.043,-1.06
3.5052,0.047,-3.96
3.5570,0.050,-3.29
3.6093,0.014,-4.64
3.6670,0.055,-1.74
3.7177,0.146,2.62
3.7697,0.111,6.18
3.8214,-0.004,-0.27
3.8774,-0.088,-1.07
3.9270,-0.082,7.25
3.9810,0.159,-1.29
4.0272,0.085,-3.89
4.0873,0.092,-0.83
4.1370,0.112,-8.77
4.1972,-0.070,-5.22
4.2470,0.026,1.55
4.3035,0.156,-7.55
4.3569,0.004,-5.16
4.4095,0.027,1.98
4.4580,0.054,-1.35
4.5074,0.078,0.92
4.5569,0.083,-2.07
4.6271,0.030,-1.63
4.6872,0.046,-1.19
4.7371,0.051,-3.62
4.7874,0.059,-4.31
4.8395,0.052,-0.86
4.8871,0.035,-2.01
4.9469,-0.035,-0.66
5.0024,-0.035,-1.06
5.0514,0.032,-3.96
5.1030,0.087,-0.69
5.1534,0.138,0.64
5.2072,0.140,-0.06
5.2617,0.042,-2.42
5.3177,-0.054,-3.71
5.3698,-0.041,-1.25
5.4183,0.014,0.17
5.4770,0.012,-2.88
5.5270,0.050,-2.42
5.5817,0.145,-1.31
5.6385,0.043,-3.38
5.6870,-0.054,-0.11
5.7484,-0.037,0.19
5.7968,0.015,-0.32
5.8551,0.004,-3.12
5.9073,0.047,-3.14
5.9647,0.083,-2.47
6.0170,0.157,-4.34
6.0725,0.079,-5.86
6.1235,-0.041,0.27
6.1771,0.088,3.35
6.2272,0.046,2.61
6.2880,-0.063,-0.06
6.3414,-0.089,-1.77
6.3970,0.041,-3.03
6.4494,0.114,-5.33
6.4996,0.116,0.51
6.5571,0.226,-0.01
6.6092,0.067,-3.48
6.6613,-0.027,-0.65
6.7123,0.012,0.12
6.7626,-0.054,-2.75
6.8189,0.047,1.42
6.8669,0.033,0.06
6.9245,0.025,-0.84
6.9793,0.158,-5.66
7.0281,-0.003,-1.33
7.0868,0.075,1.11
7.1369,0.011,2.86
7.1877,0.087,-0.54
7.2370,-0.016,-3.15
7.2980,-0.072,-3.14
7.3511,0.090,-0.42
7.4011,0.217,-2.84
7.4505,0.182,-4.09
7.5016,0.053,-3.38
7.5569,-0.105,2.47
7.6070,-0.049,2.71
7.6590,0.092,-1.70
7.7112,0.082,-6.32
7.7669,-0.073,-1.03
7.8177,-0.065,4.22
7.8713,0.046,-0.27
7.9196,0.195,-3.33
7.9772,0.121,-3.42
8.0307,-0.013,-2.21
8.0851,-0.005,-0.12
8.1346,0.026,-3.08
8.1870,0.079,-0.35
8.2394,0.080,-0.78
8.2915,0.094,-2.63
8.3469,-0.005,-1.97
8.3983,0.025,-2.08
8.4470,0.058,1.09
8.4971,0.059,-3.70
8.5572,0.028,1.25
8.6170,0.284,-4.93
8.6671,0.005,0.21
8.7271,-0.123,3.44
8.7811,0.058,-0.25
8.8269,0.083,-3.33
8.8869,-0.157,3.37
8.9408,0.066,-3.15
8.9871,0.028,-0.23
9.0481,0.168,0.72
9.0994,0.107,-1.21
9.1510,-0.040,-0.03
9.2073,-0.180,5.08
9.2572,0.009,5.43
9.3085,0.008,1.28
9.3671,0.060,-1.81
9.4168,0.059,-1.37
9.4735,0.169,-2.55
